entidad,edad_original,edad,sexo,poblacion
Total,0 Años,0,Hombres,916140
Total,0 Años,0,Mujeres,896837
Total,1 Año,1,Hombres,967223
Total,1 Año,1,Mujeres,942735
Total,2 Años,2,Hombres,1031816
Total,2 Años,2,Mujeres,1009303
Total,3 Años,3,Hombres,1060809
Total,3 Años,3,Mujeres,1047597
Total,4 Años,4,Hombres,1101494
Total,4 Años,4,Mujeres,1073411
Total,5 Años,5,Hombres,1106361
Total,5 Años,5,Mujeres,1072540
Total,6 Años,6,Hombres,1057642
Total,6 Años,6,Mujeres,1037707
Total,7 Años,7,Hombres,1087091
Total,7 Años,7,Mujeres,1059203
Total,8 Años,8,Hombres,1140496
Total,8 Años,8,Mujeres,1093999
Total,9 Años,9,Hombres,1061501
Total,9 Años,9,Mujeres,1047839
Total,10 Años,10,Hombres,1174026
Total,10 Años,10,Mujeres,1125241
Total,11 Años,11,Hombres,1066706
Total,11 Años,11,Mujeres,1034766
Total,12 Años,12,Hombres,1146128
Total,12 Años,12,Mujeres,1103439
Total,13 Años,13,Hombres,1082309
Total,13 Años,13,Mujeres,1058332
Total,14 Años,14,Hombres,1085091
Total,14 Años,14,Mujeres,1067502
Total,15 Años,15,Hombres,1113136
Total,15 Años,15,Mujeres,1080658
Total,16 Años,16,Hombres,1054448
Total,16 Años,16,Mujeres,1032036
Total,17 Años,17,Hombres,1122956
Total,17 Años,17,Mujeres,1089440
Total,18 Años,18,Hombres,1172693
Total,18 Años,18,Mujeres,1134982
Total,19 Años,19,Hombres,998917
Total,19 Años,19,Mujeres,1007424
Total,20 Años,20,Hombres,1146232
Total,20 Años,20,Mujeres,1161603
Total,21 Años,21,Hombres,957236
Total,21 Años,21,Mujeres,960314
Total,22 Años,22,Hombres,1061846
Total,22 Años,22,Mujeres,1067065
Total,23 Años,23,Hombres,1005112
Total,23 Años,23,Mujeres,1028971
Total,24 Años,24,Hombres,995458
Total,24 Años,24,Mujeres,1038258
Total,25 Años,25,Hombres,1063775
Total,25 Años,25,Mujeres,1115241
Total,26 Años,26,Hombres,954163
Total,26 Años,26,Mujeres,1022308
Total,27 Años,27,Hombres,955081
Total,27 Años,27,Mujeres,999565
Total,28 Años,28,Hombres,1001692
Total,28 Años,28,Mujeres,1042848
Total,29 Años,29,Hombres,886693
Total,29 Años,29,Mujeres,951635
Total,30 Años,30,Hombres,1148015
Total,30 Años,30,Mujeres,1218303
Total,31 Años,31,Hombres,734272
Total,31 Años,31,Mujeres,807132
Total,32 Años,32,Hombres,959947
Total,32 Años,32,Mujeres,1037842
Total,33 Años,33,Hombres,849187
Total,33 Años,33,Mujeres,927893
Total,34 Años,34,Hombres,836305
Total,34 Años,34,Mujeres,901931
Total,35 Años,35,Hombres,966246
Total,35 Años,35,Mujeres,1036930
Total,36 Años,36,Hombres,870975
Total,36 Años,36,Mujeres,957381
Total,37 Años,37,Hombres,767996
Total,37 Años,37,Mujeres,832855
Total,38 Años,38,Hombres,941824
Total,38 Años,38,Mujeres,1000225
Total,39 Años,39,Hombres,784489
Total,39 Años,39,Mujeres,861355
Total,40 Años,40,Hombres,1059322
Total,40 Años,40,Mujeres,1146683
Total,41 Años,41,Hombres,624905
Total,41 Años,41,Mujeres,690335
Total,42 Años,42,Hombres,928285
Total,42 Años,42,Mujeres,997622
Total,43 Años,43,Hombres,768115
Total,43 Años,43,Mujeres,850194
Total,44 Años,44,Hombres,681677
Total,44 Años,44,Mujeres,756448
Total,45 Años,45,Hombres,919327
Total,45 Años,45,Mujeres,976618
Total,46 Años,46,Hombres,718647
Total,46 Años,46,Mujeres,790847
Total,47 Años,47,Hombres,725378
Total,47 Años,47,Mujeres,782495
Total,48 Años,48,Hombres,763098
Total,48 Años,48,Mujeres,828232
Total,49 Años,49,Hombres,685894
Total,49 Años,49,Mujeres,751877
Total,50 Años,50,Hombres,890709
Total,50 Años,50,Mujeres,974467
Total,51 Años,51,Hombres,519757
Total,51 Años,51,Mujeres,580730
Total,52 Años,52,Hombres,711793
Total,52 Años,52,Mujeres,779167
Total,53 Años,53,Hombres,606024
Total,53 Años,53,Mujeres,675736
Total,54 Años,54,Hombres,603880
Total,54 Años,54,Mujeres,695269
Total,55 Años,55,Hombres,621423
Total,55 Años,55,Mujeres,694085
Total,56 Años,56,Hombres,591296
Total,56 Años,56,Mujeres,644523
Total,57 Años,57,Hombres,476655
Total,57 Años,57,Mujeres,536515
Total,58 Años,58,Hombres,524223
Total,58 Años,58,Mujeres,589095
Total,59 Años,59,Hombres,479379
Total,59 Años,59,Mujeres,538764
Total,60 Años,60,Hombres,627532
Total,60 Años,60,Mujeres,705998
Total,61 Años,61,Hombres,347068
Total,61 Años,61,Mujeres,399294
Total,62 Años,62,Hombres,456755
Total,62 Años,62,Mujeres,516023
Total,63 Años,63,Hombres,431407
Total,63 Años,63,Mujeres,488413
Total,64 Años,64,Hombres,395100
Total,64 Años,64,Mujeres,453472
Total,65 Años,65,Hombres,462245
Total,65 Años,65,Mujeres,520856
Total,66 Años,66,Hombres,316121
Total,66 Años,66,Mujeres,363669
Total,67 Años,67,Hombres,316743
Total,67 Años,67,Mujeres,350108
Total,68 Años,68,Hombres,349542
Total,68 Años,68,Mujeres,404171
Total,69 Años,69,Hombres,262199
Total,69 Años,69,Mujeres,299423
Total,70 Años,70,Hombres,332464
Total,70 Años,70,Mujeres,383782
Total,71 Años,71,Hombres,194181
Total,71 Años,71,Mujeres,219326
Total,72 Años,72,Hombres,272830
Total,72 Años,72,Mujeres,307181
Total,73 Años,73,Hombres,223788
Total,73 Años,73,Mujeres,256636
Total,74 Años,74,Hombres,210229
Total,74 Años,74,Mujeres,246923
Total,75 Años,75,Hombres,219479
Total,75 Años,75,Mujeres,250636
Total,76 Años,76,Hombres,178282
Total,76 Años,76,Mujeres,205385
Total,77 Años,77,Hombres,148489
Total,77 Años,77,Mujeres,168928
Total,78 Años,78,Hombres,171128
Total,78 Años,78,Mujeres,191770
Total,79 Años,79,Hombres,130520
Total,79 Años,79,Mujeres,149965
Total,80 Años,80,Hombres,156170
Total,80 Años,80,Mujeres,192832
Total,81 Años,81,Hombres,83368
Total,81 Años,81,Mujeres,98336
Total,82 Años,82,Hombres,102905
Total,82 Años,82,Mujeres,127145
Total,83 Años,83,Hombres,92350
Total,83 Años,83,Mujeres,118019
Total,84 Años,84,Hombres,89019
Total,84 Años,84,Mujeres,115220
Total,85 Años,85,Hombres,82532
Total,85 Años,85,Mujeres,107237
Total,86 Años,86,Hombres,65151
Total,86 Años,86,Mujeres,85514
Total,87 Años,87,Hombres,52994
Total,87 Años,87,Mujeres,70759
Total,88 Años,88,Hombres,43694
Total,88 Años,88,Mujeres,58161
Total,89 Años,89,Hombres,38980
Total,89 Años,89,Mujeres,54223
Total,90 Años,90,Hombres,39510
Total,90 Años,90,Mujeres,56749
Total,91 Años,91,Hombres,17136
Total,91 Años,91,Mujeres,25149
Total,92 Años,92,Hombres,20213
Total,92 Años,92,Mujeres,30231
Total,93 Años,93,Hombres,16679
Total,93 Años,93,Mujeres,25074
Total,94 Años,94,Hombres,13820
Total,94 Años,94,Mujeres,22245
Total,95 Años,95,Hombres,11533
Total,95 Años,95,Mujeres,18384
Total,96 Años,96,Hombres,8984
Total,96 Años,96,Mujeres,13720
Total,97 Años,97,Hombres,6309
Total,97 Años,97,Mujeres,10227
Total,98 Años,98,Hombres,5892
Total,98 Años,98,Mujeres,9560
Total,99 Años,99,Hombres,3897
Total,99 Años,99,Mujeres,6699
Total,100 años y más,100,Hombres,6644
Total,100 años y más,100,Mujeres,11651
Total,No especificado,NA,Hombres,136194
Total,No especificado,NA,Mujeres,137192
Aguascalientes,0 Años,0,Hombres,11412
Aguascalientes,0 Años,0,Mujeres,10893
Aguascalientes,1 Año,1,Hombres,11878
Aguascalientes,1 Año,1,Mujeres,11882
Aguascalientes,2 Años,2,Hombres,12970
Aguascalientes,2 Años,2,Mujeres,12829
Aguascalientes,3 Años,3,Hombres,13406
Aguascalientes,3 Años,3,Mujeres,13011
Aguascalientes,4 Años,4,Hombres,13312
Aguascalientes,4 Años,4,Mujeres,12837
Aguascalientes,5 Años,5,Hombres,13436
Aguascalientes,5 Años,5,Mujeres,12831
Aguascalientes,6 Años,6,Hombres,13100
Aguascalientes,6 Años,6,Mujeres,12980
Aguascalientes,7 Años,7,Hombres,13381
Aguascalientes,7 Años,7,Mujeres,13132
Aguascalientes,8 Años,8,Hombres,13632
Aguascalientes,8 Años,8,Mujeres,13018
Aguascalientes,9 Años,9,Hombres,12810
Aguascalientes,9 Años,9,Mujeres,12728
Aguascalientes,10 Años,10,Hombres,13690
Aguascalientes,10 Años,10,Mujeres,13151
Aguascalientes,11 Años,11,Hombres,12781
Aguascalientes,11 Años,11,Mujeres,12280
Aguascalientes,12 Años,12,Hombres,13640
Aguascalientes,12 Años,12,Mujeres,12995
Aguascalientes,13 Años,13,Hombres,12890
Aguascalientes,13 Años,13,Mujeres,12482
Aguascalientes,14 Años,14,Hombres,13079
Aguascalientes,14 Años,14,Mujeres,12729
Aguascalientes,15 Años,15,Hombres,13166
Aguascalientes,15 Años,15,Mujeres,12642
Aguascalientes,16 Años,16,Hombres,12938
Aguascalientes,16 Años,16,Mujeres,12357
Aguascalientes,17 Años,17,Hombres,13738
Aguascalientes,17 Años,17,Mujeres,13299
Aguascalientes,18 Años,18,Hombres,14344
Aguascalientes,18 Años,18,Mujeres,13884
Aguascalientes,19 Años,19,Hombres,12717
Aguascalientes,19 Años,19,Mujeres,12882
Aguascalientes,20 Años,20,Hombres,13788
Aguascalientes,20 Años,20,Mujeres,13935
Aguascalientes,21 Años,21,Hombres,12076
Aguascalientes,21 Años,21,Mujeres,12210
Aguascalientes,22 Años,22,Hombres,12865
Aguascalientes,22 Años,22,Mujeres,12805
Aguascalientes,23 Años,23,Hombres,12311
Aguascalientes,23 Años,23,Mujeres,12422
Aguascalientes,24 Años,24,Hombres,12114
Aguascalientes,24 Años,24,Mujeres,12494
Aguascalientes,25 Años,25,Hombres,12709
Aguascalientes,25 Años,25,Mujeres,13148
Aguascalientes,26 Años,26,Hombres,11531
Aguascalientes,26 Años,26,Mujeres,12235
Aguascalientes,27 Años,27,Hombres,11498
Aguascalientes,27 Años,27,Mujeres,11746
Aguascalientes,28 Años,28,Hombres,11639
Aguascalientes,28 Años,28,Mujeres,11985
Aguascalientes,29 Años,29,Hombres,10764
Aguascalientes,29 Años,29,Mujeres,11171
Aguascalientes,30 Años,30,Hombres,12498
Aguascalientes,30 Años,30,Mujeres,13212
Aguascalientes,31 Años,31,Hombres,8885
Aguascalientes,31 Años,31,Mujeres,9610
Aguascalientes,32 Años,32,Hombres,10748
Aguascalientes,32 Años,32,Mujeres,11376
Aguascalientes,33 Años,33,Hombres,9899
Aguascalientes,33 Años,33,Mujeres,10477
Aguascalientes,34 Años,34,Hombres,9621
Aguascalientes,34 Años,34,Mujeres,10499
Aguascalientes,35 Años,35,Hombres,10139
Aguascalientes,35 Años,35,Mujeres,10889
Aguascalientes,36 Años,36,Hombres,9741
Aguascalientes,36 Años,36,Mujeres,10412
Aguascalientes,37 Años,37,Hombres,8866
Aguascalientes,37 Años,37,Mujeres,9563
Aguascalientes,38 Años,38,Hombres,10157
Aguascalientes,38 Años,38,Mujeres,10892
Aguascalientes,39 Años,39,Hombres,8871
Aguascalientes,39 Años,39,Mujeres,9727
Aguascalientes,40 Años,40,Hombres,10559
Aguascalientes,40 Años,40,Mujeres,11738
Aguascalientes,41 Años,41,Hombres,7499
Aguascalientes,41 Años,41,Mujeres,8197
Aguascalientes,42 Años,42,Hombres,9772
Aguascalientes,42 Años,42,Mujeres,10706
Aguascalientes,43 Años,43,Hombres,8609
Aguascalientes,43 Años,43,Mujeres,9439
Aguascalientes,44 Años,44,Hombres,7400
Aguascalientes,44 Años,44,Mujeres,8459
Aguascalientes,45 Años,45,Hombres,9530
Aguascalientes,45 Años,45,Mujeres,10213
Aguascalientes,46 Años,46,Hombres,7966
Aguascalientes,46 Años,46,Mujeres,8871
Aguascalientes,47 Años,47,Hombres,7789
Aguascalientes,47 Años,47,Mujeres,8512
Aguascalientes,48 Años,48,Hombres,7703
Aguascalientes,48 Años,48,Mujeres,8744
Aguascalientes,49 Años,49,Hombres,7175
Aguascalientes,49 Años,49,Mujeres,8166
Aguascalientes,50 Años,50,Hombres,8736
Aguascalientes,50 Años,50,Mujeres,9902
Aguascalientes,51 Años,51,Hombres,5809
Aguascalientes,51 Años,51,Mujeres,6545
Aguascalientes,52 Años,52,Hombres,7467
Aguascalientes,52 Años,52,Mujeres,8368
Aguascalientes,53 Años,53,Hombres,6339
Aguascalientes,53 Años,53,Mujeres,7397
Aguascalientes,54 Años,54,Hombres,6260
Aguascalientes,54 Años,54,Mujeres,7298
Aguascalientes,55 Años,55,Hombres,6367
Aguascalientes,55 Años,55,Mujeres,7093
Aguascalientes,56 Años,56,Hombres,6081
Aguascalientes,56 Años,56,Mujeres,6786
Aguascalientes,57 Años,57,Hombres,5101
Aguascalientes,57 Años,57,Mujeres,5903
Aguascalientes,58 Años,58,Hombres,5064
Aguascalientes,58 Años,58,Mujeres,5871
Aguascalientes,59 Años,59,Hombres,4995
Aguascalientes,59 Años,59,Mujeres,5604
Aguascalientes,60 Años,60,Hombres,5958
Aguascalientes,60 Años,60,Mujeres,6960
Aguascalientes,61 Años,61,Hombres,3662
Aguascalientes,61 Años,61,Mujeres,4266
Aguascalientes,62 Años,62,Hombres,4618
Aguascalientes,62 Años,62,Mujeres,5297
Aguascalientes,63 Años,63,Hombres,4324
Aguascalientes,63 Años,63,Mujeres,4976
Aguascalientes,64 Años,64,Hombres,3873
Aguascalientes,64 Años,64,Mujeres,4372
Aguascalientes,65 Años,65,Hombres,4407
Aguascalientes,65 Años,65,Mujeres,5076
Aguascalientes,66 Años,66,Hombres,3192
Aguascalientes,66 Años,66,Mujeres,3773
Aguascalientes,67 Años,67,Hombres,3197
Aguascalientes,67 Años,67,Mujeres,3457
Aguascalientes,68 Años,68,Hombres,3275
Aguascalientes,68 Años,68,Mujeres,3809
Aguascalientes,69 Años,69,Hombres,2627
Aguascalientes,69 Años,69,Mujeres,3010
Aguascalientes,70 Años,70,Hombres,2970
Aguascalientes,70 Años,70,Mujeres,3591
Aguascalientes,71 Años,71,Hombres,1937
Aguascalientes,71 Años,71,Mujeres,2246
Aguascalientes,72 Años,72,Hombres,2620
Aguascalientes,72 Años,72,Mujeres,3061
Aguascalientes,73 Años,73,Hombres,2187
Aguascalientes,73 Años,73,Mujeres,2450
Aguascalientes,74 Años,74,Hombres,2068
Aguascalientes,74 Años,74,Mujeres,2456
Aguascalientes,75 Años,75,Hombres,2011
Aguascalientes,75 Años,75,Mujeres,2273
Aguascalientes,76 Años,76,Hombres,1667
Aguascalientes,76 Años,76,Mujeres,1966
Aguascalientes,77 Años,77,Hombres,1414
Aguascalientes,77 Años,77,Mujeres,1648
Aguascalientes,78 Años,78,Hombres,1474
Aguascalientes,78 Años,78,Mujeres,1624
Aguascalientes,79 Años,79,Hombres,1173
Aguascalientes,79 Años,79,Mujeres,1331
Aguascalientes,80 Años,80,Hombres,1234
Aguascalientes,80 Años,80,Mujeres,1623
Aguascalientes,81 Años,81,Hombres,754
Aguascalientes,81 Años,81,Mujeres,927
Aguascalientes,82 Años,82,Hombres,855
Aguascalientes,82 Años,82,Mujeres,1200
Aguascalientes,83 Años,83,Hombres,761
Aguascalientes,83 Años,83,Mujeres,1040
Aguascalientes,84 Años,84,Hombres,793
Aguascalientes,84 Años,84,Mujeres,999
Aguascalientes,85 Años,85,Hombres,686
Aguascalientes,85 Años,85,Mujeres,878
Aguascalientes,86 Años,86,Hombres,529
Aguascalientes,86 Años,86,Mujeres,746
Aguascalientes,87 Años,87,Hombres,466
Aguascalientes,87 Años,87,Mujeres,599
Aguascalientes,88 Años,88,Hombres,360
Aguascalientes,88 Años,88,Mujeres,513
Aguascalientes,89 Años,89,Hombres,319
Aguascalientes,89 Años,89,Mujeres,480
Aguascalientes,90 Años,90,Hombres,337
Aguascalientes,90 Años,90,Mujeres,482
Aguascalientes,91 Años,91,Hombres,158
Aguascalientes,91 Años,91,Mujeres,226
Aguascalientes,92 Años,92,Hombres,170
Aguascalientes,92 Años,92,Mujeres,301
Aguascalientes,93 Años,93,Hombres,148
Aguascalientes,93 Años,93,Mujeres,256
Aguascalientes,94 Años,94,Hombres,129
Aguascalientes,94 Años,94,Mujeres,203
Aguascalientes,95 Años,95,Hombres,93
Aguascalientes,95 Años,95,Mujeres,165
Aguascalientes,96 Años,96,Hombres,72
Aguascalientes,96 Años,96,Mujeres,118
Aguascalientes,97 Años,97,Hombres,53
Aguascalientes,97 Años,97,Mujeres,85
Aguascalientes,98 Años,98,Hombres,39
Aguascalientes,98 Años,98,Mujeres,94
Aguascalientes,99 Años,99,Hombres,27
Aguascalientes,99 Años,99,Mujeres,50
Aguascalientes,100 años y más,100,Hombres,36
Aguascalientes,100 años y más,100,Mujeres,76
Aguascalientes,No especificado,NA,Hombres,749
Aguascalientes,No especificado,NA,Mujeres,759
Baja California,0 Años,0,Hombres,22543
Baja California,0 Años,0,Mujeres,22311
Baja California,1 Año,1,Hombres,25084
Baja California,1 Año,1,Mujeres,24216
Baja California,2 Años,2,Hombres,28320
Baja California,2 Años,2,Mujeres,27483
Baja California,3 Años,3,Hombres,28971
Baja California,3 Años,3,Mujeres,28738
Baja California,4 Años,4,Hombres,29492
Baja California,4 Años,4,Mujeres,29143
Baja California,5 Años,5,Hombres,30199
Baja California,5 Años,5,Mujeres,28743
Baja California,6 Años,6,Hombres,29879
Baja California,6 Años,6,Mujeres,29207
Baja California,7 Años,7,Hombres,30345
Baja California,7 Años,7,Mujeres,29462
Baja California,8 Años,8,Hombres,32661
Baja California,8 Años,8,Mujeres,30615
Baja California,9 Años,9,Hombres,29525
Baja California,9 Años,9,Mujeres,29018
Baja California,10 Años,10,Hombres,33647
Baja California,10 Años,10,Mujeres,32061
Baja California,11 Años,11,Hombres,30377
Baja California,11 Años,11,Mujeres,29141
Baja California,12 Años,12,Hombres,33043
Baja California,12 Años,12,Mujeres,31953
Baja California,13 Años,13,Hombres,31193
Baja California,13 Años,13,Mujeres,30225
Baja California,14 Años,14,Hombres,31046
Baja California,14 Años,14,Mujeres,29662
Baja California,15 Años,15,Hombres,31732
Baja California,15 Años,15,Mujeres,30437
Baja California,16 Años,16,Hombres,30560
Baja California,16 Años,16,Mujeres,28897
Baja California,17 Años,17,Hombres,31583
Baja California,17 Años,17,Mujeres,30381
Baja California,18 Años,18,Hombres,35770
Baja California,18 Años,18,Mujeres,33796
Baja California,19 Años,19,Hombres,31653
Baja California,19 Años,19,Mujeres,30830
Baja California,20 Años,20,Hombres,37169
Baja California,20 Años,20,Mujeres,36028
Baja California,21 Años,21,Hombres,33032
Baja California,21 Años,21,Mujeres,31231
Baja California,22 Años,22,Hombres,35232
Baja California,22 Años,22,Mujeres,33831
Baja California,23 Años,23,Hombres,34335
Baja California,23 Años,23,Mujeres,33206
Baja California,24 Años,24,Hombres,33682
Baja California,24 Años,24,Mujeres,32613
Baja California,25 Años,25,Hombres,37020
Baja California,25 Años,25,Mujeres,35958
Baja California,26 Años,26,Hombres,32408
Baja California,26 Años,26,Mujeres,32275
Baja California,27 Años,27,Hombres,32221
Baja California,27 Años,27,Mujeres,31066
Baja California,28 Años,28,Hombres,34997
Baja California,28 Años,28,Mujeres,33422
Baja California,29 Años,29,Hombres,29604
Baja California,29 Años,29,Mujeres,29273
Baja California,30 Años,30,Hombres,39851
Baja California,30 Años,30,Mujeres,38642
Baja California,31 Años,31,Hombres,24307
Baja California,31 Años,31,Mujeres,24585
Baja California,32 Años,32,Hombres,32941
Baja California,32 Años,32,Mujeres,32066
Baja California,33 Años,33,Hombres,27673
Baja California,33 Años,33,Mujeres,28070
Baja California,34 Años,34,Hombres,27392
Baja California,34 Años,34,Mujeres,26862
Baja California,35 Años,35,Hombres,33966
Baja California,35 Años,35,Mujeres,32874
Baja California,36 Años,36,Hombres,29942
Baja California,36 Años,36,Mujeres,29496
Baja California,37 Años,37,Hombres,25030
Baja California,37 Años,37,Mujeres,24584
Baja California,38 Años,38,Hombres,32888
Baja California,38 Años,38,Mujeres,31043
Baja California,39 Años,39,Hombres,26343
Baja California,39 Años,39,Mujeres,25903
Baja California,40 Años,40,Hombres,36829
Baja California,40 Años,40,Mujeres,35745
Baja California,41 Años,41,Hombres,21240
Baja California,41 Años,41,Mujeres,21058
Baja California,42 Años,42,Hombres,32263
Baja California,42 Años,42,Mujeres,30288
Baja California,43 Años,43,Hombres,25761
Baja California,43 Años,43,Mujeres,25704
Baja California,44 Años,44,Hombres,22239
Baja California,44 Años,44,Mujeres,22484
Baja California,45 Años,45,Hombres,33758
Baja California,45 Años,45,Mujeres,31424
Baja California,46 Años,46,Hombres,24851
Baja California,46 Años,46,Mujeres,24068
Baja California,47 Años,47,Hombres,25289
Baja California,47 Años,47,Mujeres,23598
Baja California,48 Años,48,Hombres,27159
Baja California,48 Años,48,Mujeres,25194
Baja California,49 Años,49,Hombres,23130
Baja California,49 Años,49,Mujeres,22373
Baja California,50 Años,50,Hombres,31795
Baja California,50 Años,50,Mujeres,29678
Baja California,51 Años,51,Hombres,17654
Baja California,51 Años,51,Mujeres,17230
Baja California,52 Años,52,Hombres,24224
Baja California,52 Años,52,Mujeres,22829
Baja California,53 Años,53,Hombres,19609
Baja California,53 Años,53,Mujeres,19131
Baja California,54 Años,54,Hombres,19507
Baja California,54 Años,54,Mujeres,19731
Baja California,55 Años,55,Hombres,20474
Baja California,55 Años,55,Mujeres,19636
Baja California,56 Años,56,Hombres,18767
Baja California,56 Años,56,Mujeres,18373
Baja California,57 Años,57,Hombres,15106
Baja California,57 Años,57,Mujeres,15028
Baja California,58 Años,58,Hombres,16472
Baja California,58 Años,58,Mujeres,16472
Baja California,59 Años,59,Hombres,13959
Baja California,59 Años,59,Mujeres,14366
Baja California,60 Años,60,Hombres,19094
Baja California,60 Años,60,Mujeres,19416
Baja California,61 Años,61,Hombres,9815
Baja California,61 Años,61,Mujeres,10581
Baja California,62 Años,62,Hombres,13518
Baja California,62 Años,62,Mujeres,14083
Baja California,63 Años,63,Hombres,12145
Baja California,63 Años,63,Mujeres,13000
Baja California,64 Años,64,Hombres,10715
Baja California,64 Años,64,Mujeres,11655
Baja California,65 Años,65,Hombres,12865
Baja California,65 Años,65,Mujeres,14029
Baja California,66 Años,66,Hombres,8292
Baja California,66 Años,66,Mujeres,9163
Baja California,67 Años,67,Hombres,8125
Baja California,67 Años,67,Mujeres,8861
Baja California,68 Años,68,Hombres,8957
Baja California,68 Años,68,Mujeres,10087
Baja California,69 Años,69,Hombres,6743
Baja California,69 Años,69,Mujeres,7582
Baja California,70 Años,70,Hombres,8588
Baja California,70 Años,70,Mujeres,9556
Baja California,71 Años,71,Hombres,4905
Baja California,71 Años,71,Mujeres,5465
Baja California,72 Años,72,Hombres,6890
Baja California,72 Años,72,Mujeres,7658
Baja California,73 Años,73,Hombres,5457
Baja California,73 Años,73,Mujeres,6203
Baja California,74 Años,74,Hombres,4972
Baja California,74 Años,74,Mujeres,5731
Baja California,75 Años,75,Hombres,5200
Baja California,75 Años,75,Mujeres,5849
Baja California,76 Años,76,Hombres,3933
Baja California,76 Años,76,Mujeres,4686
Baja California,77 Años,77,Hombres,3262
Baja California,77 Años,77,Mujeres,3923
Baja California,78 Años,78,Hombres,3734
Baja California,78 Años,78,Mujeres,4274
Baja California,79 Años,79,Hombres,2704
Baja California,79 Años,79,Mujeres,3309
Baja California,80 Años,80,Hombres,3402
Baja California,80 Años,80,Mujeres,4354
Baja California,81 Años,81,Hombres,1816
Baja California,81 Años,81,Mujeres,2236
Baja California,82 Años,82,Hombres,2245
Baja California,82 Años,82,Mujeres,2734
Baja California,83 Años,83,Hombres,1865
Baja California,83 Años,83,Mujeres,2477
Baja California,84 Años,84,Hombres,1732
Baja California,84 Años,84,Mujeres,2343
Baja California,85 Años,85,Hombres,1532
Baja California,85 Años,85,Mujeres,2036
Baja California,86 Años,86,Hombres,1175
Baja California,86 Años,86,Mujeres,1674
Baja California,87 Años,87,Hombres,1000
Baja California,87 Años,87,Mujeres,1367
Baja California,88 Años,88,Hombres,864
Baja California,88 Años,88,Mujeres,1103
Baja California,89 Años,89,Hombres,706
Baja California,89 Años,89,Mujeres,994
Baja California,90 Años,90,Hombres,731
Baja California,90 Años,90,Mujeres,1036
Baja California,91 Años,91,Hombres,308
Baja California,91 Años,91,Mujeres,476
Baja California,92 Años,92,Hombres,325
Baja California,92 Años,92,Mujeres,594
Baja California,93 Años,93,Hombres,313
Baja California,93 Años,93,Mujeres,459
Baja California,94 Años,94,Hombres,220
Baja California,94 Años,94,Mujeres,396
Baja California,95 Años,95,Hombres,178
Baja California,95 Años,95,Mujeres,294
Baja California,96 Años,96,Hombres,112
Baja California,96 Años,96,Mujeres,250
Baja California,97 Años,97,Hombres,109
Baja California,97 Años,97,Mujeres,172
Baja California,98 Años,98,Hombres,72
Baja California,98 Años,98,Mujeres,172
Baja California,99 Años,99,Hombres,51
Baja California,99 Años,99,Mujeres,102
Baja California,100 años y más,100,Hombres,81
Baja California,100 años y más,100,Mujeres,171
Baja California,No especificado,NA,Hombres,4096
Baja California,No especificado,NA,Mujeres,4123
Baja California Sur,0 Años,0,Hombres,5730
Baja California Sur,0 Años,0,Mujeres,5606
Baja California Sur,1 Año,1,Hombres,5956
Baja California Sur,1 Año,1,Mujeres,5926
Baja California Sur,2 Años,2,Hombres,6456
Baja California Sur,2 Años,2,Mujeres,6289
Baja California Sur,3 Años,3,Hombres,6494
Baja California Sur,3 Años,3,Mujeres,6470
Baja California Sur,4 Años,4,Hombres,6843
Baja California Sur,4 Años,4,Mujeres,6685
Baja California Sur,5 Años,5,Hombres,6826
Baja California Sur,5 Años,5,Mujeres,6552
Baja California Sur,6 Años,6,Hombres,6526
Baja California Sur,6 Años,6,Mujeres,6453
Baja California Sur,7 Años,7,Hombres,6841
Baja California Sur,7 Años,7,Mujeres,6555
Baja California Sur,8 Años,8,Hombres,6977
Baja California Sur,8 Años,8,Mujeres,6729
Baja California Sur,9 Años,9,Hombres,6792
Baja California Sur,9 Años,9,Mujeres,6682
Baja California Sur,10 Años,10,Hombres,7430
Baja California Sur,10 Años,10,Mujeres,6879
Baja California Sur,11 Años,11,Hombres,6886
Baja California Sur,11 Años,11,Mujeres,6726
Baja California Sur,12 Años,12,Hombres,7073
Baja California Sur,12 Años,12,Mujeres,6851
Baja California Sur,13 Años,13,Hombres,6602
Baja California Sur,13 Años,13,Mujeres,6449
Baja California Sur,14 Años,14,Hombres,6464
Baja California Sur,14 Años,14,Mujeres,6305
Baja California Sur,15 Años,15,Hombres,6808
Baja California Sur,15 Años,15,Mujeres,6365
Baja California Sur,16 Años,16,Hombres,6578
Baja California Sur,16 Años,16,Mujeres,6204
Baja California Sur,17 Años,17,Hombres,7042
Baja California Sur,17 Años,17,Mujeres,6579
Baja California Sur,18 Años,18,Hombres,7118
Baja California Sur,18 Años,18,Mujeres,6624
Baja California Sur,19 Años,19,Hombres,6242
Baja California Sur,19 Años,19,Mujeres,5909
Baja California Sur,20 Años,20,Hombres,7272
Baja California Sur,20 Años,20,Mujeres,6866
Baja California Sur,21 Años,21,Hombres,6386
Baja California Sur,21 Años,21,Mujeres,5699
Baja California Sur,22 Años,22,Hombres,7006
Baja California Sur,22 Años,22,Mujeres,6519
Baja California Sur,23 Años,23,Hombres,6877
Baja California Sur,23 Años,23,Mujeres,6618
Baja California Sur,24 Años,24,Hombres,6877
Baja California Sur,24 Años,24,Mujeres,6623
Baja California Sur,25 Años,25,Hombres,7471
Baja California Sur,25 Años,25,Mujeres,7226
